# U     kappa     energy      sem
  3.4    0.950   -5.826743    0.002610
  3.4    1.000   -6.007115    0.002762
  3.4    1.050   -6.106481    0.002959
  3.4    1.100   -6.207482    0.003103
  3.4    1.150   -6.268188    0.003274
  3.4    1.200   -6.321008    0.003446
  3.4    1.250   -6.353405    0.003595
  3.4    1.300   -6.359617    0.003719
  3.4    1.350   -6.365102    0.003878
  3.4    1.400   -6.329260    0.004096
  3.4    1.450   -6.336693    0.004434
  3.4    1.500   -6.210358    0.004303
  3.4    1.550   -6.196910    0.004699
  3.4    1.600   -6.101254    0.004554
  3.4    1.650   -5.977596    0.004718
  3.4    1.700   -5.896628    0.004904
  3.4    1.750   -5.807177    0.005128
  3.4    1.800   -5.726123    0.005265
  3.4    1.850   -5.542940    0.005374
  3.4    1.900   -5.427675    0.005406
  3.4    1.950   -5.282992    0.005675
  3.4    2.000   -5.150279    0.005616
