# U   kappa   energy   sem
1.0 1.422402978224111 -9.310430765601069 0.0016939276987572628
2.0 1.6694754033223655 -7.312294688210648 0.0017288345143618672
3.0 2.014483700472166 -5.345352497921904 0.0018143181204984845
4.0 2.441859912320182 -3.5892571751459332 0.0019422533364527657
5.0 2.5250162778364897 -3.059592714903215 0.0018677765883051436
6.0 2.912160150255429 -2.1680391572698547 0.0020083277321092993
7.0 3.1234684526246763 -1.7173876356935016 0.0020157804718724083
8.0 3.526707657790183 -1.1839332778575513 0.002105056986772553
9.0 4.163007606796901 -0.6622424139831852 0.0022051734845894675
10.0 4.408440681594659 -0.5308242715442902 0.0022780287823759124
