# U   kappa   energy   sem
1.0 2.0380918025685006 -9.09891159759775 0.0013925888298162222
2.0 2.3895182462991755 -8.94373530418665 0.0014587153060534976
3.0 2.4649823938122686 -8.90010928270382 0.001438138330818648
4.0 2.7001515856889045 -8.823364337917805 0.001465420475173229
5.0 3.135304127553139 -8.74777040231322 0.0016088653560691727
6.0 3.019101459921144 -8.761803681848882 0.0015621955407953644
7.0 3.66958762152247 -8.670885662893754 0.0016916674679381056
8.0 4.363443603287591 -8.600078581043814 0.001683784544896045
9.0 3.5287688636625747 -8.682427472387111 0.001640509735971017
10.0 3.70570528990841 -8.661396491814791 0.001660756289535698
