# U   E_kin    E_kin_sem   E_pot   E_pot_sem
1.0 -13.341299455878207 0.0003842626868929527 0.3589636759081023 6.160645311074868e-5
2.0 -13.262262434249589 0.0003892282718253633 0.6905970850728732 0.0001212090235104422
3.0 -13.177296756134192 0.0003952098147388675 0.9936059473513162 0.0001784946538579982
4.0 -13.162566142168007 0.00039614384248755455 1.3152057198570035 0.00023728508979017055
5.0 -13.064652691975015 0.00040227399506764306 1.5668978900527486 0.0002904509843216216
6.0 -13.059185918910254 0.000402732922749163 1.8726579585510361 0.0003478655042255287
7.0 -13.035761954333498 0.0004045891398092443 2.15951233719157 0.00040390376762526034
8.0 -12.950611534183304 0.00040962784293870736 2.364680482987925 0.00045298151516448196
9.0 -12.915205097307835 0.0004118000711061819 2.6141974950626232 0.000505712356101648
10.0 -12.869832728686816 0.0004145215047598822 2.837152196195095 0.0005562661514020755
