# U   E_kin   E_kin_sem   E_pot   E_pot_sem
1.0 -1.1386446187455979 0.0022664687796931965 0.08518816675679662 0.0004893392465912408
2.0 -1.1263956913806605 0.002296455445061329 0.1661999711839031 0.0009770477844482921
3.0 -1.1297270905837737 0.0022928162018350743 0.25106351080377054 0.0014682067791346879
4.0 -1.121761807793902 0.002282957487474881 0.32825117739403453 0.0019452955434339496
5.0 -1.1235902776872517 0.002287656733356957 0.4125159562485921 0.002433260732002727
6.0 -1.129769897010854 0.0023114500112429866 0.5031857129405857 0.002946392926445352
7.0 -1.1270722023917363 0.002297050712802577 0.582707296239397 0.0034205536627653437
8.0 -1.127786718112595 0.002303523148336799 0.6671671844617496 0.003920219211477396
9.0 -1.1198800256863026 0.0023129917628996665 0.7382235696153713 0.004390970122782894
10.0 -1.112456656720194 0.0023439962722828158 0.8090791313382676 0.004883290763963627
