# L=16, N=8, T=1.0, sym gs
#          U         Eg          K          V                 S₁(ℓ=8)              S₁acc(ℓ=8)                 S₂(ℓ=8)              S₂acc(ℓ=8)                 EN(ℓ=8)              ENacc(ℓ=8)
    1.000000     -1.474395480228E+01     -1.572004225693E+01      9.760874546477E-01      1.514584195229E+00      1.234408354405E-01      1.294941956784E+00      5.124615568090E-02      1.912228754637E+00      3.519722901513E-01
    2.000000     -1.392518466315E+01     -1.530075447756E+01      1.375569814410E+00      1.447075139010E+00      1.702420906983E-01      1.204479134820E+00      7.569535568694E-02      1.888766665994E+00      4.421312576919E-01
    3.000000     -1.333339988264E+01     -1.485774373819E+01      1.524343855552E+00      1.404922435791E+00      1.970057327995E-01      1.149524143447E+00      9.043477879145E-02      1.868013430038E+00      4.906131164097E-01
    4.000000     -1.288991017476E+01     -1.443512461201E+01      1.545214437248E+00      1.375500312601E+00      2.149194625440E-01      1.111542353777E+00      1.006258079002E-01      1.850725638188E+00      5.215315470273E-01
    5.000000     -1.254879294362E+01     -1.405262313109E+01      1.503830187468E+00      1.354174998145E+00      2.278832291037E-01      1.084054508952E+00      1.081870007271E-01      1.836637626514E+00      5.429780041319E-01
    6.000000     -1.228044498134E+01     -1.371548873171E+01      1.435043750375E+00      1.338366417564E+00      2.377467107989E-01      1.063617208249E+00      1.140586256914E-01      1.825229866954E+00      5.586905850456E-01
    7.000000     -1.206506253456E+01     -1.342178322460E+01      1.356720690041E+00      1.326422751619E+00      2.455283758194E-01      1.048087676359E+00      1.187703874270E-01      1.815972509964E+00      5.706772305496E-01
    8.000000     -1.188907899580E+01     -1.316675878333E+01      1.277679787525E+00      1.317238318780E+00      2.518403208934E-01      1.036053809314E+00      1.226467745019E-01      1.808411797463E+00      5.801160298321E-01
    9.000000     -1.174300174199E+01     -1.294504389685E+01      1.202042154864E+00      1.310057937681E+00      2.570735336949E-01      1.026559454368E+00      1.258987830414E-01      1.802185433028E+00      5.877415415612E-01
   10.000000     -1.162005192966E+01     -1.275158115908E+01      1.131529229416E+00      1.304357702154E+00      2.614898203584E-01      1.018944470072E+00      1.286701619898E-01      1.797012315520E+00      5.940336141108E-01
