# L=10, N=10, T=1.0, sym gs
#          U         Eg          K          V                 S₁(ℓ=5)              S₁acc(ℓ=5)                 S₂(ℓ=5)              S₂acc(ℓ=5)                 EN(ℓ=5)              ENacc(ℓ=5)
    1.000000     -1.636048582876E+01     -1.948967015764E+01      3.129184328878E+00      1.601524782828E+00      9.379993494984E-02      1.394409266745E+00      3.666353040618E-02      1.980085932826E+00      2.933155394171E-01
    2.000000     -1.353596700723E+01     -1.865649559578E+01      5.120528588549E+00      1.493329582418E+00      1.276588520502E-01      1.264015716566E+00      5.304894022974E-02      1.919919284167E+00      3.668777095126E-01
    3.000000     -1.119391345749E+01     -1.760232922933E+01      6.408415771832E+00      1.400144799507E+00      1.474131737210E-01      1.146628574103E+00      6.311444248249E-02      1.864489575051E+00      4.094370772041E-01
    4.000000     -9.251592973179E+00     -1.625203169952E+01      7.000438726337E+00      1.292443191127E+00      1.652058355955E-01      9.939537207680E-01      7.480751026531E-02      1.799831789383E+00      4.369775205393E-01
    5.000000     -7.692948011056E+00     -1.453839127744E+01      6.845443266387E+00      1.137048831184E+00      1.748643917254E-01      7.789450113286E-01      8.924399048234E-02      1.696920214203E+00      4.333710214404E-01
    6.000000     -6.499789368180E+00     -1.267526452006E+01      6.175475151880E+00      9.358197059347E-01      1.609433459100E-01      5.536436921419E-01      9.539159007130E-02      1.543358208959E+00      3.849021107498E-01
    7.000000     -5.605176752171E+00     -1.102974643852E+01      5.424569686345E+00      7.454432413737E-01      1.311597668536E-01      3.882189096411E-01      8.749926459446E-02      1.373418400255E+00      3.150191212316E-01
    8.000000     -4.923597925416E+00     -9.716729548107E+00      4.793131622691E+00      5.982894385199E-01      1.022757041648E-01      2.836060751917E-01      7.337714633463E-02      1.221115723887E+00      2.509391010446E-01
    9.000000     -4.389253777063E+00     -8.678298433634E+00      4.289044656571E+00      4.904296471847E-01      7.996142781398E-02      2.168418214635E-01      5.981956128376E-02      1.095110047018E+00      2.007455988881E-01
   10.000000     -3.959168696189E+00     -7.840722850857E+00      3.881554154668E+00      4.104367903495E-01      6.365461198474E-02      1.718719074190E-01      4.883169534857E-02      9.922531242310E-01      1.630068612078E-01
