# U   step   mu   N_avg
1.0 2500 0.9804560003935932 12.965791103622353
1.0 3000 0.9804560003935932 13.01518136439268
1.0 3500 0.9804560003935932 13.035377059885786
1.0 4000 0.9804560003935932 12.97909717663602
1.0 4500 0.9804560003935932 12.93786279727313
1.0 5000 0.9804560003935932 12.990553495206774
1.0 5500 0.9804560003935932 13.028607019028048
1.0 6000 0.9804560003935932 12.95383179750379
1.0 6500 0.9804560003935932 12.939337041956716
1.0 7000 0.9804560003935932 12.995689167326884
1.0 7500 0.9804560003935932 12.941440450232385
1.0 8000 0.9804560003935932 13.022881409646955
1.0 8500 0.9804560003935932 12.973242844732612
1.0 9000 0.9804560003935932 12.970962208487405
1.0 9500 0.9804560003935932 12.986400508193286
1.0 10000 0.9804560003935932 13.008420062758645
2.0 2500 0.9801952199429528 12.985611917656922
2.0 3000 0.9801952199429528 12.999105912653004
2.0 3500 0.9801952199429528 12.961253739697092
2.0 4000 0.9801952199429528 12.94327870271422
2.0 4500 0.9801952199429528 12.937672390187867
2.0 5000 0.9801952199429528 12.971272202464478
2.0 5500 0.9801952199429528 12.995658446703517
2.0 6000 0.9801952199429528 12.95736236830637
2.0 6500 0.9801952199429528 12.959748092366132
2.0 7000 0.9801952199429528 12.93278740367171
2.0 7500 0.9801952199429528 13.007601750867773
2.0 8000 0.9801952199429528 12.926626308639015
2.0 8500 0.9801952199429528 12.959753147305214
2.0 9000 0.9801952199429528 13.014609967822096
2.0 9500 0.9801952199429528 12.977443659110136
2.0 10000 0.9801952199429528 12.928627597329033
3.0 2500 0.9801952199429528 12.985611917656922
3.0 3000 0.9801952199429528 12.999105912653004
3.0 3500 0.9801952199429528 12.961253739697092
3.0 4000 0.9801952199429528 12.94327870271422
3.0 4500 0.9801952199429528 12.937672390187867
3.0 5000 0.9801952199429528 12.971272202464478
3.0 5500 0.9801952199429528 12.995658446703517
3.0 6000 0.9801952199429528 12.95736236830637
3.0 6500 0.9801952199429528 12.959748092366132
3.0 7000 0.9801952199429528 12.93278740367171
3.0 7500 0.9801952199429528 13.007601750867773
3.0 8000 0.9801952199429528 12.926626308639015
3.0 8500 0.9801952199429528 12.959753147305214
3.0 9000 0.9801952199429528 13.014609967822096
3.0 9500 0.9801952199429528 12.977443659110136
3.0 10000 0.9801952199429528 12.928627597329033
4.0 2500 0.9801952199429528 12.985611917656922
4.0 3000 0.9801952199429528 12.999105912653004
4.0 3500 0.9801952199429528 12.961253739697092
4.0 4000 0.9801952199429528 12.94327870271422
4.0 4500 0.9801952199429528 12.937672390187867
4.0 5000 0.9801952199429528 12.971272202464478
4.0 5500 0.9801952199429528 12.995658446703517
4.0 6000 0.9801952199429528 12.95736236830637
4.0 6500 0.9801952199429528 12.959748092366132
4.0 7000 0.9801952199429528 12.93278740367171
4.0 7500 0.9801952199429528 13.007601750867773
4.0 8000 0.9801952199429528 12.926626308639015
4.0 8500 0.9801952199429528 12.959753147305214
4.0 9000 0.9801952199429528 13.014609967822096
4.0 9500 0.9801952199429528 12.977443659110136
4.0 10000 0.9801952199429528 12.928627597329033
5.0 2500 0.9801952199429528 12.985611917656922
5.0 3000 0.9801952199429528 12.999105912653004
5.0 3500 0.9801952199429528 12.961253739697092
5.0 4000 0.9801952199429528 12.94327870271422
5.0 4500 0.9801952199429528 12.937672390187867
5.0 5000 0.9801952199429528 12.971272202464478
5.0 5500 0.9801952199429528 12.995658446703517
5.0 6000 0.9801952199429528 12.95736236830637
5.0 6500 0.9801952199429528 12.959748092366132
5.0 7000 0.9801952199429528 12.93278740367171
5.0 7500 0.9801952199429528 13.007601750867773
5.0 8000 0.9801952199429528 12.926626308639015
5.0 8500 0.9801952199429528 12.959753147305214
5.0 9000 0.9801952199429528 13.014609967822096
5.0 9500 0.9801952199429528 12.977443659110136
5.0 10000 0.9801952199429528 12.928627597329033
6.0 2500 0.9801952199429528 12.985611917656922
6.0 3000 0.9801952199429528 12.999105912653004
6.0 3500 0.9801952199429528 12.961253739697092
6.0 4000 0.9801952199429528 12.94327870271422
6.0 4500 0.9801952199429528 12.937672390187867
6.0 5000 0.9801952199429528 12.971272202464478
6.0 5500 0.9801952199429528 12.995658446703517
6.0 6000 0.9801952199429528 12.95736236830637
6.0 6500 0.9801952199429528 12.959748092366132
6.0 7000 0.9801952199429528 12.93278740367171
6.0 7500 0.9801952199429528 13.007601750867773
6.0 8000 0.9801952199429528 12.926626308639015
6.0 8500 0.9801952199429528 12.959753147305214
6.0 9000 0.9801952199429528 13.014609967822096
6.0 9500 0.9801952199429528 12.977443659110136
6.0 10000 0.9801952199429528 12.928627597329033
7.0 2500 0.9801952199429528 12.985611917656922
7.0 3000 0.9801952199429528 12.999105912653004
7.0 3500 0.9801952199429528 12.961253739697092
7.0 4000 0.9801952199429528 12.94327870271422
7.0 4500 0.9801952199429528 12.937672390187867
7.0 5000 0.9801952199429528 12.971272202464478
